Ex LUT Interpolation, Em LUT Interpolation, 310 nm, 320 nm, 330 nm, 340 nm
linear,linear,0.616531612573,0.544402951482,0.628552840263,0.58974882201
linear,slinear,0.616531612573,0.544402951482,0.628552840263,0.58974882201
linear,quadratic,0.615656751089,0.545241523926,0.629460742174,0.590134589179
linear,cubic,0.615495824032,0.545214921144,0.629498027377,0.590103907693
slinear,linear,0.616531612573,0.544402951482,0.628552840263,0.58974882201
slinear,slinear,0.616531612573,0.544402951482,0.628552840263,0.58974882201
slinear,quadratic,0.615656751089,0.545241523926,0.629460742174,0.590134589179
slinear,cubic,0.615495824032,0.545214921144,0.629498027377,0.590103907693
quadratic,linear,0.616531612573,0.544402951482,0.628552840263,0.58974882201
quadratic,slinear,0.616531612573,0.544402951482,0.628552840263,0.58974882201
quadratic,quadratic,0.615656751089,0.545241523926,0.629460742174,0.590134589179
quadratic,cubic,0.615495824032,0.545214921144,0.629498027377,0.590103907693
cubic,linear,0.616531612573,0.544402951482,0.628552840263,0.58974882201
cubic,slinear,0.616531612573,0.544402951482,0.628552840263,0.58974882201
cubic,quadratic,0.615656751089,0.545241523926,0.629460742174,0.590134589179
cubic,cubic,0.615495824032,0.545214921144,0.629498027377,0.590103907693
