Ex LUT Interpolation,Em LUT Interpolation,310 nm,320 nm,330 nm,340 nm
linear,linear,0.621745542718,0.604171372864,0.641284516266,0.470270451048
linear,slinear,0.621745542718,0.604171372864,0.641284516266,0.470270451048
linear,quadratic,0.620682066648,0.604974008665,0.642075344599,0.470470282567
linear,cubic,0.620631444972,0.604969988523,0.642141597529,0.470468067767
slinear,linear,0.621745542718,0.604171372864,0.641284516266,0.470270451048
slinear,slinear,0.621745542718,0.604171372864,0.641284516266,0.470270451048
slinear,quadratic,0.620682066648,0.604974008665,0.642075344599,0.470470282567
slinear,cubic,0.620631444972,0.604969988523,0.642141597529,0.470468067767
quadratic,linear,0.621745542718,0.604171372864,0.641284516266,0.470270451048
quadratic,slinear,0.621745542718,0.604171372864,0.641284516266,0.470270451048
quadratic,quadratic,0.620682066648,0.604974008665,0.642075344599,0.470470282567
quadratic,cubic,0.620631444972,0.604969988523,0.642141597529,0.470468067767
cubic,linear,0.621745542718,0.604171372864,0.641284516266,0.470270451048
cubic,slinear,0.621745542718,0.604171372864,0.641284516266,0.470270451048
cubic,quadratic,0.620682066648,0.604974008665,0.642075344599,0.470470282567
cubic,cubic,0.620631444972,0.604969988523,0.642141597529,0.470468067767
