Shift LUT?,Intercept SE, Slope SE, Ex LUT Interpolation, Em LUT Interpolation,Ex LUT Split, Em LUT Split, Constant Diode, Start of Correction Region, 310 nm, 320 nm, 330 nm, 340 nm
False,none,none,linear,linear,none,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,linear,linear,none,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,linear,linear,none,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,linear,linear,none,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,linear,linear,none,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,linear,linear,none,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,linear,linear,even,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,linear,linear,even,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,linear,linear,even,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,linear,linear,even,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,linear,linear,even,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,linear,linear,even,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,linear,linear,odd,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,linear,linear,odd,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,linear,linear,odd,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,linear,linear,odd,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,linear,linear,odd,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,linear,linear,odd,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,linear,slinear,none,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,linear,slinear,none,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,linear,slinear,none,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,linear,slinear,none,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,linear,slinear,none,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,linear,slinear,none,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,linear,slinear,even,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,linear,slinear,even,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,linear,slinear,even,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,linear,slinear,even,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,linear,slinear,even,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,linear,slinear,even,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,linear,slinear,odd,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,linear,slinear,odd,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,linear,slinear,odd,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,linear,slinear,odd,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,linear,slinear,odd,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,linear,slinear,odd,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,linear,quadratic,none,none,False,350,0.435388668048,0.472556246531,0.603726295649,0.443410682014
False,none,none,linear,quadratic,none,none,True,350,0.419253610884,0.46667354634,0.608647959881,0.43442348935
False,none,none,linear,quadratic,none,even,False,350,0.441714129122,0.472550556425,0.602956257275,0.445850612608
False,none,none,linear,quadratic,none,even,True,350,0.425387853668,0.466688397079,0.607900218065,0.436834556874
False,none,none,linear,quadratic,none,odd,False,350,0.430374798231,0.472267996536,0.602909397633,0.440185918351
False,none,none,linear,quadratic,none,odd,True,350,0.414410093421,0.466367994498,0.607799134742,0.431244105674
False,none,none,linear,quadratic,even,none,False,350,0.435388668048,0.472556246531,0.603726295649,0.443410682014
