Ex LUT Interpolation,Em LUT Interpolation,0.04 mM,0.43 mM,4.3 mM
linear,linear,1.02222525644,1.19193963822,1.21456421951
linear,slinear,1.02222525644,1.19193963822,1.21456421951
linear,quadratic,1.02185190783,1.19152101179,1.21418621445
linear,cubic,1.02182024787,1.19150371628,1.21417899854
slinear,linear,1.02222525644,1.19193963822,1.21456421951
slinear,slinear,1.02222525644,1.19193963822,1.21456421951
slinear,quadratic,1.02185190783,1.19152101179,1.21418621445
slinear,cubic,1.02182024787,1.19150371628,1.21417899854
quadratic,linear,1.02222525644,1.19193963822,1.21456421951
quadratic,slinear,1.02222525644,1.19193963822,1.21456421951
quadratic,quadratic,1.02185190783,1.19152101179,1.21418621445
quadratic,cubic,1.02182024787,1.19150371628,1.21417899854
cubic,linear,1.02222525644,1.19193963822,1.21456421951
cubic,slinear,1.02222525644,1.19193963822,1.21456421951
cubic,quadratic,1.02185190783,1.19152101179,1.21418621445
cubic,cubic,1.02182024787,1.19150371628,1.21417899854
