Shift LUT?,Intercept SE,Slope SE,Ex LUT Interpolation,Em LUT Interpolation,Ex LUT Split,Em LUT Split,Constant Diode,Start of Correction Region,0.04 mM,0.43 mM,4.3 mM
False,none,none,linear,linear,none,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,linear,linear,none,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,linear,linear,none,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,linear,linear,none,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,linear,linear,none,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,linear,linear,none,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,linear,linear,even,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,linear,linear,even,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,linear,linear,even,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,linear,linear,even,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,linear,linear,even,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,linear,linear,even,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,linear,linear,odd,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,linear,linear,odd,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,linear,linear,odd,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,linear,linear,odd,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,linear,linear,odd,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,linear,linear,odd,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,linear,slinear,none,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,linear,slinear,none,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,linear,slinear,none,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,linear,slinear,none,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,linear,slinear,none,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,linear,slinear,none,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,linear,slinear,even,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,linear,slinear,even,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,linear,slinear,even,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,linear,slinear,even,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,linear,slinear,even,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,linear,slinear,even,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,linear,slinear,odd,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,linear,slinear,odd,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,linear,slinear,odd,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,linear,slinear,odd,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,linear,slinear,odd,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,linear,slinear,odd,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,linear,quadratic,none,none,False,370,1.02750629888,1.19413135402,1.21560727322
False,none,none,linear,quadratic,none,none,True,370,1.02668364491,1.19209168161,1.21463719507
False,none,none,linear,quadratic,none,even,False,370,1.03401747837,1.20177519894,1.22321587097
False,none,none,linear,quadratic,none,even,True,370,1.03319695825,1.19971791188,1.22224873528
False,none,none,linear,quadratic,none,odd,False,370,1.02157916187,1.18711032762,1.2085632831
False,none,none,linear,quadratic,none,odd,True,370,1.02076179316,1.18508146639,1.20758672138
False,none,none,linear,quadratic,even,none,False,370,1.02750629888,1.19413135402,1.21560727322
False,none,none,linear,quadratic,even,none,True,370,1.02668364491,1.19209168161,1.21463719507
False,none,none,linear,quadratic,even,even,False,370,1.03401747837,1.20177519894,1.22321587097
False,none,none,linear,quadratic,even,even,True,370,1.03319695825,1.19971791188,1.22224873528
False,none,none,linear,quadratic,even,odd,False,370,1.02157916187,1.18711032762,1.2085632831
False,none,none,linear,quadratic,even,odd,True,370,1.02076179316,1.18508146639,1.20758672138
